In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-16 04:32 | 233.0 |  9.00 (0.10) |   0.07 (0.18) |   0.52 (0.05) |   5.83 (1.08) |  41.33 ( 9.51) |
|2020-03-18 00:12 | 233.0 |  8.69 (0.12) |  -0.12 (0.15) |   0.54 (0.08) |   6.34 (1.33) |  51.34 ( 7.60) |
|2020-03-18 00:14 | 233.0 |  8.64 (0.12) |  -0.13 (0.12) |   0.53 (0.07) |   6.28 (1.11) |  51.90 ( 6.04) |
|2020-03-18 01:46 | 233.0 |  8.57 (0.09) |  -0.10 (0.10) |   0.56 (0.03) |   6.67 (0.79) |  50.01 ( 5.08) |
|2020-03-18 01:48 | 233.0 |  8.58 (0.08) |  -0.08 (0.11) |   0.55 (0.03) |   6.54 (0.75) |  49.14 ( 5.43) |
|2020-03-18 04:50 | 233.0 |  8.67 (0.06) |  -0.05 (0.08) |   0.52 (0.05) |   6.01 (0.79) |  47.88 ( 4.55) |
|2020-03-18 05:47 | 233.0 |  8.93 (0.07) |  -0.11 (0.01) |   0.56 (0.01) |   6.42 (0.34) |  50.51 ( 0.71) |
|2021-01-21 04:09 | 233.0 |  9.23 (0.10) |  -0.83 (0.18) |  -0.61 (0.10) |  11.17 (1.53) | -71.87 ( 3.69) |
|2021-01-21 04:10 | 233.0 |  9.30 (0.10) |  -0.83 (0.19) |  -0.62 (0.09) |  11.11 (1.50) | -71.64 ( 3.77) |
|2021-01-21 05:15 | 233.0 |  8.89 (0.08) |  -0.83 (0.10) |  -0.47 (0.01) |  10.69 (0.41) | -75.30 ( 1.51) |
|2021-02-07 01:39 | 233.0 |  8.28 (0.08) |  -0.70 (0.03) |  -0.72 (0.03) |  12.06 (0.45) | -67.11 ( 0.76) |
|2021-02-07 01:59 | 233.0 |  9.31 (0.05) |  -0.77 (0.01) |  -0.79 (0.01) |  11.81 (0.32) | -67.14 ( 0.22) |
|2021-02-07 03:04 | 233.0 |  9.30 (0.06) |  -0.82 (0.00) |  -0.82 (0.01) |  12.44 (0.32) | -67.44 ( 0.12) |
|2021-02-07 04:39 | 233.0 |  8.75 (0.06) |  -0.70 (0.01) |  -0.76 (0.00) |  11.82 (0.32) | -66.44 ( 0.15) |
|2021-02-07 06:54 | 233.0 |  8.62 (0.07) |  -0.64 (0.07) |  -0.80 (0.01) |  11.87 (0.44) | -64.48 ( 1.44) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-02-27 04:58 | 343.4 |  5.87 (0.09) |  -0.12 (0.08) |   0.11 (0.01) |   2.75 (0.49) |  69.52 ( 9.84) |
|2020-02-27 07:36 | 343.4 |  5.76 (0.09) |  -0.16 (0.02) |   0.14 (0.02) |   3.66 (0.49) |  69.92 ( 2.96) |
|2020-02-28 02:04 | 343.4 |  5.83 (0.14) |  -0.14 (0.07) |   0.19 (0.00) |   3.97 (0.40) |  63.19 ( 6.76) |
|2020-02-28 02:06 | 343.4 |  5.79 (0.12) |  -0.12 (0.07) |   0.19 (0.00) |   3.89 (0.34) |  61.68 ( 6.91) |
|2021-01-28 07:34 | 343.4 |  6.48 (0.05) |  -0.47 (0.01) |  -0.32 (0.00) |   8.83 (0.33) | -72.95 ( 0.38) |
|2021-02-07 04:11 | 343.4 |  6.90 (0.10) |  -0.65 (0.01) |  -0.73 (0.01) |  14.23 (0.33) | -65.90 ( 0.22) |
|2021-02-07 06:07 | 343.4 |  6.60 (0.07) |  -0.60 (0.01) |  -0.68 (0.01) |  13.72 (0.35) | -65.59 ( 0.38) |
|2021-02-07 06:28 | 343.4 |  6.60 (0.06) |  -0.55 (0.05) |  -0.69 (0.00) |  13.44 (0.39) | -64.36 ( 1.16) |
|2021-02-08 03:13 | 343.4 |  6.59 (0.07) |  -0.58 (0.01) |  -0.69 (0.00) |  13.60 (0.32) | -64.97 ( 0.15) |
|2021-02-08 04:24 | 343.4 |  6.76 (0.06) |  -0.56 (0.01) |  -0.71 (0.01) |  13.28 (0.32) | -64.13 ( 0.19) |


J1229+0203 (3C 273)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-04 02:26 |  97.5 |  7.80 (0.08) |  -0.03 (0.13) |  -0.48 (0.07) |   6.16 (1.32) | -46.58 ( 7.90) |
|2020-03-04 06:38 |  97.5 |  7.70 (0.04) |  -0.07 (0.01) |  -0.47 (0.01) |   6.17 (0.33) | -49.26 ( 0.32) |
|2020-03-06 22:53 |  97.5 |  7.75 (0.13) |  -0.09 (0.03) |  -0.37 (0.12) |   4.95 (0.84) | -51.86 ( 2.98) |
