In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-19 05:55 |  97.5 |  0.77 (0.02) |   0.03 (0.01) |   0.10 (0.01) |  14.09 (0.90) |  36.44 ( 1.41) |
|2021-01-28 08:30 |  97.5 |  0.75 (0.00) |   0.03 (0.00) |   0.11 (0.00) |  14.98 (0.45) |  37.16 ( 0.44) |
|2021-02-06 03:16 |  97.5 |  0.77 (0.01) |   0.03 (0.00) |   0.11 (0.00) |  14.61 (0.40) |  36.62 ( 0.36) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-18 00:55 | 233.0 |  0.32 (0.01) |   0.01 (0.01) |   0.05 (0.01) |  15.21 (3.47) |  39.18 ( 8.61) |
|2020-03-18 05:10 | 233.0 |  0.35 (0.01) |   0.02 (0.00) |   0.06 (0.01) |  16.91 (1.51) |  34.40 ( 2.02) |
|2021-02-07 03:04 | 233.0 |  0.34 (0.01) |   0.02 (0.00) |   0.05 (0.00) |  16.62 (0.81) |  36.68 ( 1.19) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-02-27 05:28 | 343.4 |  0.24 (0.01) |   0.02 (0.01) |   0.04 (0.01) |  17.68 (2.93) |  29.81 ( 5.20) |
|2020-02-28 02:47 | 343.4 |  0.24 (0.02) |  -0.00 (0.01) |   0.05 (0.00) |  18.59 (1.93) |  46.37 ( 5.10) |
|2021-01-28 07:34 | 343.4 |  0.23 (0.00) |   0.01 (0.00) |   0.04 (0.00) |  16.78 (1.17) |  36.59 ( 2.31) |
|2021-02-07 04:11 | 343.4 |  0.22 (0.00) |   0.01 (0.01) |   0.03 (0.01) |  16.02 (2.88) |  38.13 ( 4.53) |
|2021-02-08 03:13 | 343.4 |  0.21 (0.00) |   0.01 (0.00) |   0.03 (0.00) |  15.86 (0.78) |  37.99 ( 2.07) |
|2021-02-08 04:24 | 343.4 |  0.22 (0.00) |   0.01 (0.00) |   0.04 (0.01) |  17.60 (1.17) |  37.72 ( 1.30) |

J1058+0133
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-04 02:18 |  97.5 |  2.56 (0.03) |  -0.03 (0.03) |  -0.19 (0.04) |   7.35 (1.30) | -49.10 ( 3.94) |
|2020-03-05 21:24 |  97.5 |  2.55 (0.03) |  -0.03 (0.01) |  -0.13 (0.05) |   5.36 (1.09) | -50.87 ( 3.58) |
|2020-03-06 22:49 |  97.5 |  2.52 (0.03) |  -0.02 (0.01) |  -0.14 (0.05) |   5.61 (0.73) | -49.35 ( 1.82) |
|2020-03-14 21:20 |  97.5 |  2.53 (0.04) |  -0.02 (0.01) |  -0.16 (0.04) |   6.25 (0.81) | -49.09 ( 1.83) |
|2020-03-15 02:54 |  97.5 |  2.52 (0.02) |  -0.03 (0.02) |  -0.13 (0.05) |   5.48 (1.31) | -51.05 ( 4.67) |
|2020-03-15 20:43 |  97.5 |  2.54 (0.03) |  -0.03 (0.02) |  -0.14 (0.06) |   5.56 (1.34) | -51.11 ( 4.41) |
|2020-03-15 22:56 |  97.5 |  2.53 (0.04) |  -0.04 (0.01) |  -0.17 (0.06) |   6.69 (1.10) | -51.01 ( 2.81) |
|2020-03-15 23:24 |  97.5 |  2.47 (0.03) |  -0.04 (0.03) |  -0.17 (0.05) |   6.99 (1.60) | -52.03 ( 5.24) |
|2020-03-16 00:45 |  97.5 |  2.47 (0.05) |  -0.05 (0.07) |  -0.14 (0.01) |   6.25 (1.01) | -55.43 (11.81) |
|2021-01-21 03:11 |  97.5 |  2.59 (0.04) |  -0.03 (0.02) |  -0.24 (0.02) |   9.50 (0.81) | -48.16 ( 2.50) |
|2021-02-05 23:36 |  97.5 |  2.88 (0.05) |   0.01 (0.00) |  -0.27 (0.00) |   9.24 (0.32) | -44.12 ( 0.22) |
|2021-02-06 03:16 |  97.5 |  3.01 (0.02) |  -0.00 (0.00) |  -0.27 (0.00) |   8.99 (0.32) | -45.27 ( 0.49) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-17 21:44 | 233.0 |  1.53 (0.02) |  -0.06 (0.02) |  -0.09 (0.01) |   7.10 (0.83) | -60.44 ( 4.02) |
|2020-03-18 00:37 | 233.0 |  1.43 (0.03) |  -0.03 (0.00) |  -0.07 (0.03) |   5.11 (0.84) | -56.69 ( 5.44) |
|2020-03-18 02:01 | 233.0 |  1.42 (0.01) |  -0.02 (0.02) |  -0.08 (0.00) |   5.83 (0.71) | -52.51 ( 6.19) |
|2020-03-18 04:57 | 233.0 |  1.51 (0.02) |  -0.02 (0.05) |  -0.10 (0.03) |   6.50 (2.47) | -49.93 (13.07) |
|2021-01-21 04:42 | 233.0 |  1.80 (0.03) |   0.01 (0.01) |  -0.12 (0.03) |   6.47 (0.93) | -41.32 ( 2.27) |
|2021-02-07 03:04 | 233.0 |  1.98 (0.02) |  -0.00 (0.00) |  -0.18 (0.01) |   9.13 (0.40) | -45.61 ( 0.62) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-02-27 05:03 | 343.4 |  1.28 (0.01) |  -0.00 (0.02) |  -0.12 (0.02) |   9.43 (1.61) | -45.69 ( 4.54) |
|2020-02-28 02:31 | 343.4 |  1.24 (0.01) |   0.01 (0.02) |  -0.10 (0.02) |   7.95 (1.44) | -41.82 ( 5.52) |
|2020-02-28 23:03 | 343.4 |  1.38 (0.02) |  -0.03 (0.02) |  -0.12 (0.02) |   8.78 (1.45) | -51.55 ( 5.29) |
|2021-01-28 07:34 | 343.4 |  1.53 (0.01) |  -0.00 (0.00) |  -0.16 (0.00) |  10.16 (0.34) | -45.31 ( 0.17) |
|2021-02-06 23:18 | 343.4 |  1.50 (0.02) |   0.01 (0.01) |  -0.15 (0.01) |   9.98 (0.75) | -44.02 ( 2.18) |
|2021-02-07 00:03 | 343.4 |  1.44 (0.01) |  -0.02 (0.02) |  -0.14 (0.01) |   9.95 (0.76) | -48.08 ( 3.64) |
|2021-02-07 04:11 | 343.4 |  1.58 (0.02) |   0.01 (0.01) |  -0.15 (0.00) |   9.40 (0.42) | -43.65 ( 1.05) |
|2021-02-08 03:13 | 343.4 |  1.56 (0.02) |   0.00 (0.00) |  -0.15 (0.00) |   9.36 (0.35) | -44.79 ( 0.42) |
|2021-02-08 04:24 | 343.4 |  1.59 (0.01) |   0.00 (0.00) |  -0.15 (0.00) |   9.38 (0.38) | -44.38 ( 0.45) |
